epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1657.58,0.34653,6.38886,0.3173,0.34101,1.021,0.99818,1,0.995,0.98016,0.49909,0.5,0.2475,0.04029,0.32786,4.22159,0.36518,0.33839,0.6667,0.0008516,0.0008516,0.0008516
31,1714.53,0.35421,6.2066,0.30564,0.33591,1.0363,0.99835,1,0.995,0.95506,0.55784,0.55882,0.31882,0.05832,0.37007,4.36488,0.36968,0.30711,0.70741,0.000812,0.000812,0.000812
32,1770.09,0.34866,6.20092,0.30509,0.33659,1.02489,0.99843,1,0.995,0.95495,0.52933,0.52941,0.36355,0.07626,0.41119,4.39582,0.41132,0.29448,0.75074,0.0007724,0.0007724,0.0007724
33,1831.06,0.34103,5.73736,0.30597,0.32267,1.01451,0.99844,1,0.995,0.95339,0.79285,0.79412,0.66811,0.17105,0.38881,3.69301,0.34666,0.28196,0.72679,0.0007328,0.0007328,0.0007328
34,1893.51,0.33053,5.87461,0.30332,0.3096,1.02116,0.99831,1,0.995,0.95022,0.67533,0.67647,0.4763,0.11597,0.41511,3.90585,0.34013,0.29413,0.73965,0.0006932,0.0006932,0.0006932
35,1953.92,0.33033,5.75825,0.29725,0.31982,1.02253,0.99817,1,0.995,0.94267,0.74241,0.76296,0.57907,0.13521,0.37426,3.71678,0.3801,0.28265,0.71752,0.0006536,0.0006536,0.0006536
36,2014.44,0.32683,5.68258,0.29722,0.32578,1.00488,0.99836,1,0.995,0.95002,0.82215,0.82353,0.70233,0.16426,0.38637,3.43143,0.35008,0.25659,0.74437,0.000614,0.000614,0.000614
37,2076.61,0.31278,5.91088,0.30314,0.31562,1.01138,0.99823,1,0.995,0.97023,0.85143,0.85294,0.77673,0.22783,0.34415,3.54077,0.33663,0.27984,0.69865,0.0005744,0.0005744,0.0005744
38,2135.44,0.30475,5.63114,0.28681,0.31376,1.0009,0.99816,1,0.995,0.98927,0.6752,0.67647,0.51759,0.11785,0.29403,3.83592,0.35717,0.28931,0.64707,0.0005348,0.0005348,0.0005348
39,2197.55,0.31511,5.50318,0.29222,0.31113,1.01049,0.99831,1,0.995,0.9876,0.88086,0.88235,0.83661,0.22977,0.29776,3.04247,0.33832,0.28626,0.65146,0.0004952,0.0004952,0.0004952
