epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.4966,1.59737,1.61663,0.87108,0.94841,0.21814,0.32287,0.15878,1.47245,1.37935,0.85164,0.000405702,0.000405702,0.000405702
2,85.6873,1.47879,0.94506,0.82262,0.76664,0.46038,0.55796,0.29371,1.30348,0.97238,0.83871,0.000806086,0.000806086,0.000806086
3,137.769,1.42853,0.8861,0.82026,0.73087,0.59808,0.59775,0.34337,1.27667,0.92034,0.83066,0.00118997,0.00118997,0.00118997
